label,youtube_id,time_start,time_end,split
abseiling,Tdd9inAW1VY,361,371,train
abseiling,WtsxCZoN_CU,141,151,train
abseiling,p1GKldUE_JQ,31,41,train
abseiling,ubZ089pbaP8,62,72,train
abseiling,cZCc1OO24dA,2,12,train
abseiling,sb2-e8sDXsQ,16,26,train
abseiling,m8Pm5kmCuqI,64,74,train
abseiling,qFqamv2qSMU,87,97,train
abseiling,bERucmnQMZk,307,317,train
abseiling,c_A6JqdPQSU,131,141,train
abseiling,g9vKORBYCSU,29,39,train
abseiling,WjtTfhSMVwg,20,30,train
abseiling,S1D8J-A8-7Y,317,327,train
abseiling,JG_UfSLVTb8,79,89,train
abseiling,LmFR9e5Z_xc,44,54,train
abseiling,zA_ICqtk_uU,45,55,train
abseiling,MgEcf3_I_Y4,159,169,train
abseiling,2V81Wyiekp8,23,33,train
abseiling,7DVc_T3JbjE,28,38,train
abseiling,_xN3j__e368,1,11,train
abseiling,opeUDHC4u-s,102,112,train
abseiling,caSwnAhYayk,294,304,train
abseiling,GSBrpJUGBi8,89,99,train
abseiling,rinCdVhueDA,0,10,train
abseiling,sze0R6Qu6D8,4,14,train
abseiling,eTKXXDATOLc,32,42,train
abseiling,eIgOw9_ufIY,45,55,train
abseiling,E5AsQR4zejI,2,12,train
abseiling,sOKTmDZNdT0,214,224,train
abseiling,G_Nl_Tt26Nc,34,44,train
abseiling,REccUXWSno8,125,135,train
abseiling,fxIfAQKF-5E,27,37,train
abseiling,BacSaidC4nE,67,77,train
abseiling,YSuxa3NB6dU,12,22,train
abseiling,F-Zg30cS_pw,3,13,train
abseiling,adb9uBF8pec,173,183,train
abseiling,krXXO18LjJU,157,167,train
abseiling,OwDmh9ybXaM,280,290,train
abseiling,Fgx_XsxBl90,2,12,train
abseiling,Ayg5JYcwp40,16,26,train
abseiling,OzP8--_7KfY,51,61,train
abseiling,ERbjTG_ApJg,87,97,train
abseiling,3hAYiMA3B54,117,127,train
abseiling,P9i1lh1yhdM,74,84,train
abseiling,dmR21g0D1No,114,124,train
abseiling,JS-JUVuhNV4,36,46,train
abseiling,YEgqBGmmPV8,40,50,train
abseiling,MP-Op52e84g,176,186,train
abseiling,spVb3RSFkTg,126,136,train
abseiling,e_GLdSERefQ,181,191,train
